id,name,partOf,locationType
SO_CRVS_OFFICE_01,BRA CR Office,Location/SO1101,CRVS_OFFICE
SO_CRVS_OFFICE_02,GM CR Office,Location/SO1205,CRVS_OFFICE
SO_CRVS_OFFICE_03,HSH CR Office,Location/SO1307,CRVS_OFFICE
SO_CRVS_OFFICE_04,JBL CR Office,Location/SO1411,CRVS_OFFICE
SO_CRVS_OFFICE_05,KGS CR Office,Location/SO1603,CRVS_OFFICE
SO_CRVS_OFFICE_06,PL CR Offce,Location/SO1508,CRVS_OFFICE
SO_CRVS_OFFICE_07,SLD CR Office,Location/SO1706,CRVS_OFFICE
SO_CRVS_OFFICE_08,SSC CR Office,Location/SO1802,CRVS_OFFICE
SO_CRVS_OFFICE_09,CRD Office,Location/SO1113,CRVS_OFFICE
SO_CRVS_OFFICE_10,Abdiaziz Civil Registration Office,Location/SO1101,CRVS_OFFICE
SO_CRVS_OFFICE_11,Bondhere Civil Registration Office,Location/SO1102,CRVS_OFFICE
SO_CRVS_OFFICE_12,Deynile Civil Registration Office,Location/SO1103,CRVS_OFFICE
SO_CRVS_OFFICE_13,Dharkenley Civil Registration Office,Location/SO1104,CRVS_OFFICE
SO_CRVS_OFFICE_14,Heliwaa Civil Registration Office,Location/SO1105,CRVS_OFFICE
SO_CRVS_OFFICE_15,Hodan Civil Registration Office,Location/SO1106,CRVS_OFFICE
SO_CRVS_OFFICE_16,Howlwadag Civil Registration Office,Location/SO1107,CRVS_OFFICE
SO_CRVS_OFFICE_17,Karan Civil Registration Office,Location/SO1108,CRVS_OFFICE
SO_CRVS_OFFICE_18,Kaxda Civil Registration Office,Location/SO1109,CRVS_OFFICE
SO_CRVS_OFFICE_19,Shibis Civil Registration Office,Location/SO1110,CRVS_OFFICE
SO_CRVS_OFFICE_20,Shingani Civil Registration Office,Location/SO1111,CRVS_OFFICE
SO_CRVS_OFFICE_21,Waberi Civil Registration Office,Location/SO1112,CRVS_OFFICE
SO_CRVS_OFFICE_22,Wadajir Civil Registration Office,Location/SO1113,CRVS_OFFICE
SO_CRVS_OFFICE_23,Wartanabadda Civil Registration Office,Location/SO1114,CRVS_OFFICE
SO_CRVS_OFFICE_24,Xamarjajab Civil Registration Office,Location/SO1115,CRVS_OFFICE
SO_CRVS_OFFICE_25,Xamarweyne Civil Registration Office,Location/SO1116,CRVS_OFFICE
SO_CRVS_OFFICE_27,Abudwaaq Civil Registration Office,Location/SO1201,CRVS_OFFICE
SO_CRVS_OFFICE_28,Adaado Civil Registration Office,Location/SO1202,CRVS_OFFICE
SO_CRVS_OFFICE_29,El Buur Civil Registration Office,Location/SO1203,CRVS_OFFICE
SO_CRVS_OFFICE_30,El Dheer Civil Registration Office,Location/SO1204,CRVS_OFFICE
SO_CRVS_OFFICE_31,Dhusamarreb Civil Registration Office,Location/SO1205,CRVS_OFFICE
SO_CRVS_OFFICE_32,Galkacyo Civil Registration Office,Location/SO1206,CRVS_OFFICE
SO_CRVS_OFFICE_33,Hobyo Civil Registration Office,Location/SO1207,CRVS_OFFICE
SO_CRVS_OFFICE_34,Hrardhere Civil Registration Office,Location/SO1208,CRVS_OFFICE
SO_CRVS_OFFICE_35,Adan Yabaal Civil Registration Office,Location/SO1301,CRVS_OFFICE
SO_CRVS_OFFICE_36,Balcad Civil Registration Office,Location/SO1302,CRVS_OFFICE
SO_CRVS_OFFICE_37,Belet Weyne Civil Registration Office,Location/SO1303,CRVS_OFFICE
SO_CRVS_OFFICE_38,Bulo Burto Civil Registration Office,Location/SO1304,CRVS_OFFICE
SO_CRVS_OFFICE_39,Cadale Civil Registration Office,Location/SO1305,CRVS_OFFICE
SO_CRVS_OFFICE_40,Jalalaqsi Civil Registration Office,Location/SO1306,CRVS_OFFICE
SO_CRVS_OFFICE_41,Jowhar Civil Registration Office,Location/SO1307,CRVS_OFFICE
SO_CRVS_OFFICE_42,Afmadow Civil Registration Office,Location/SO1401,CRVS_OFFICE
SO_CRVS_OFFICE_43,Baardheere Civil Registration Office,Location/SO1402,CRVS_OFFICE
SO_CRVS_OFFICE_44,Badhaadhe Civil Registration Office,Location/SO1403,CRVS_OFFICE
SO_CRVS_OFFICE_45,Belet Xaawo Civil Registration Office,Location/SO1404,CRVS_OFFICE
SO_CRVS_OFFICE_46,Bu'aale Civil Registration Office,Location/SO1405,CRVS_OFFICE
SO_CRVS_OFFICE_47,Ceel Waaq Civil Registration Office,Location/SO1406,CRVS_OFFICE
SO_CRVS_OFFICE_48,Doolow Civil Registration Office,Location/SO1407,CRVS_OFFICE
SO_CRVS_OFFICE_49,Garbahaarey Civil Registration Office,Location/SO1408,CRVS_OFFICE
SO_CRVS_OFFICE_50,Jamaame Civil Registration Office,Location/SO1409,CRVS_OFFICE
SO_CRVS_OFFICE_51,Jilib Civil Registration Office,Location/SO1410,CRVS_OFFICE
SO_CRVS_OFFICE_52,Kismaayo Civil Registration Office,Location/SO1411,CRVS_OFFICE
SO_CRVS_OFFICE_53,Luuq Civil Registration Office,Location/SO1412,CRVS_OFFICE
